Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,-9999
106,Vladimír Coufal,cz CZE,DF,West Ham,30-261,1992,25,22,1956,21.7,0,1,1,0,0,0,5,0,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-332,1992,20,7,788,8.8,1,0,1,1,0,0,3,0,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-046,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-146,1989,27,23,2165,24.1,0,1,1,0,0,0,3,0,4f974391
110,Marc Cucurella,es ESP,DF,Chelsea,24-292,1998,24,21,1671,18.6,0,2,2,0,0,0,4,0,1daec722
111,Matheus Cunha,br BRA,FW,Wolves,23-348,1999,15,11,902,10.0,2,0,2,2,0,0,1,0,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-213,1998,28,13,1129,12.5,4,4,8,4,0,0,2,0,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-053,1999,25,23,2064,22.9,1,2,3,1,0,0,6,0,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-311,2000,23,7,798,8.9,0,0,0,0,0,0,3,0,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,22-011,2001,11,10,815,9.1,3,2,5,3,0,0,1,0,a816dbfb
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-099,1997,7,0,94,1.0,1,0,1,1,0,0,0,0,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-199,1998,33,14,1352,15.0,4,2,6,4,0,0,1,0,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-016,1993,28,23,2025,22.5,2,2,4,2,0,0,4,0,44781702
119,Tom Davies,eng ENG,MF,Everton,24-314,1998,19,4,538,6.0,0,0,0,0,0,0,3,0,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,33-004,1990,8,8,720,8.0,0,0,0,0,0,0,2,0,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,33-004,1990,15,15,1234,13.7,1,0,1,1,0,0,2,0,3e9e06cb
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-316,1991,30,27,2348,26.1,7,16,23,7,0,0,1,0,e46012d4
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-245,1996,6,0,110,1.2,0,0,0,0,0,0,0,0,11f54bd5
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-025,1995,19,7,693,7.7,0,0,0,0,0,0,0,0,5a7301ae
125,Leander Dendoncker,be BEL,MF,Wolves,28-025,1995,4,2,214,2.4,0,0,0,0,0,0,0,0,5a7301ae
126,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-176,1997,18,6,701,7.8,2,2,4,2,0,0,3,0,2c44a35d
127,Halil Dervişoğlu,tr TUR,MF,Brentford,23-153,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,9d8cf204
