Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT_percentage,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,-9999
435,Joe Rothwell,eng ENG,MF,Bournemouth,28-119,1995,10.4,0,3,2,66.7,0.29,0.19,0.00,0.00,24.1,1,0,0,10a10454
436,Georginio Rutter,fr FRA,FWMF,Leeds United,21-020,2002,2.7,0,3,0,0.0,1.12,0.00,0.00,,13.8,0,0,0,c64c01fc
437,José Sá,pt POR,GK,Wolves,30-113,1993,35.0,0,0,0,,0.00,0.00,,,,0,0,0,903b6e8b
438,Marcel Sabitzer,at AUT,MF,Manchester Utd,29-054,1994,7.0,0,11,3,27.3,1.58,0.43,0.00,0.00,18.2,1,0,0,e280527c
439,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,26-059,1997,11.2,1,26,10,38.5,2.32,0.89,0.04,0.10,17.7,0,0,0,2b16cb1a
440,Bukayo Saka,eng ENG,FW,Arsenal,21-247,2001,32.7,13,80,26,32.5,2.45,0.80,0.14,0.42,16.3,1,2,3,bc7dc64d
441,Mohamed Salah,eg EGY,FW,Liverpool,30-329,1992,33.6,19,106,42,39.6,3.16,1.25,0.16,0.40,15.1,2,2,4,e342ad68
442,William Saliba,fr FRA,DF,Arsenal,22-047,2001,26.8,2,6,3,50.0,0.22,0.11,0.33,0.67,13.8,0,0,0,972aeb2a
443,Mohammed Salisu,gh GHA,DF,Southampton,24-023,1999,21.9,0,19,4,21.1,0.87,0.18,0.00,0.00,12.2,0,0,0,0b33f6ad
444,Albert Sambi Lokonga,be BEL,MF,Arsenal,23-200,1999,2.2,0,0,0,,0.00,0.00,,,,0,0,0,1b4f1169
445,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,23-200,1999,6.0,0,2,1,50.0,0.34,0.17,0.00,0.00,17.9,0,0,0,1b4f1169
446,Davinson Sánchez,co COL,DF,Tottenham,26-332,1996,7.5,0,4,2,50.0,0.53,0.27,0.00,0.00,13.0,0,0,0,da7b447d
447,Robert Sánchez,es ESP,GK,Brighton,25-173,1997,23.0,0,0,0,,0.00,0.00,,,,0,0,0,6a713852
448,Jadon Sancho,eng ENG,FWMF,Manchester Utd,23-046,2000,15.1,5,17,7,41.2,1.13,0.46,0.29,0.71,14.4,0,0,0,dbf053da
449,Morgan Sanson,fr FRA,MF,Aston Villa,28-265,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,6e7f1353
450,Pablo Sarabia,es ESP,FWMF,Wolves,30-364,1992,7.7,1,18,5,27.8,2.33,0.65,0.06,0.20,14.6,1,0,0,9744ff80
451,Jeremy Sarmiento,ec ECU,MF,Brighton,20-328,2002,2.0,0,5,2,40.0,2.56,1.02,0.00,0.00,20.5,0,0,0,ac0d576d
452,Gianluca Scamacca,it ITA,FW,West Ham,24-129,1999,10.3,3,30,10,33.3,2.92,0.97,0.10,0.30,18.7,1,0,0,8790f988
453,Gustavo Scarpa,br BRA,MFFW,Nott'ham Forest,29-125,1994,2.0,0,7,1,14.3,3.48,0.50,0.00,0.00,26.9,0,0,0,2964fd20
454,Kevin Schade,de GER,FW,Brentford,21-164,2001,6.1,0,10,3,30.0,1.64,0.49,0.00,0.00,11.9,0,0,0,52afb588
455,Fabian Schär,ch SUI,DF,Newcastle Utd,31-141,1991,31.6,1,46,11,23.9,1.45,0.35,0.02,0.09,13.9,2,0,0,c8aa95da
456,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,30-138,1992,28.1,3,28,9,32.1,1.00,0.32,0.11,0.33,17.5,0,0,0,3312f911
457,Nélson Semedo,pt POR,DF,Wolves,29-175,1993,26.2,0,6,0,0.0,0.23,0.00,0.00,,20.1,0,0,0,d04b94db
458,Antoine Semenyo,gh GHA,FWMF,Bournemouth,23-123,2000,2.9,1,3,1,33.3,1.05,0.35,0.33,1.00,17.2,0,0,0,efd2ec23
459,Marcos Senesi,ar ARG,DF,Bournemouth,26-000,1997,25.7,2,6,2,33.3,0.23,0.08,0.33,1.00,6.7,0,0,0,35141f4c
460,Ryan Sessegnon,eng ENG,DF,Tottenham,22-357,2000,9.0,2,18,6,33.3,1.99,0.66,0.11,0.33,14.6,0,0,0,6aa3e78b
461,Luke Shaw,eng ENG,DF,Manchester Utd,27-302,1995,25.9,1,12,4,33.3,0.46,0.15,0.08,0.25,17.5,1,0,0,9c94165b
462,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,31-072,1992,0.4,0,0,0,,0.00,0.00,,,,0,0,0,3727dd3c
463,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,31-072,1992,6.0,0,6,0,0.0,1.00,0.00,0.00,,24.4,0,0,0,3727dd3c
