Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp_percentage,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp_percentage,medium_Cmp,medium_Att,medium_Cmp_percentage,Long_Cmp,Long_Att,Long_Cmp_percentage,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-040,2000,0.2,15,21,71.4,253,126,6,7,85.7,8,10,80.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-333,1996,29.1,746,974,76.6,10778,2924,423,502,84.3,237,294,80.6,39,83,47.0,1,3.1,2.5,-2.1,24,46,8,3,76,Matches,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-253,1996,9.0,514,571,90.0,7843,1774,266,281,94.7,208,225,92.4,25,33,75.8,0,0.5,0.3,-0.5,8,40,4,1,45,Matches,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-096,1991,6.7,183,243,75.3,3472,1595,60,73,82.2,101,119,84.9,18,43,41.9,1,0.2,0.3,+0.8,1,8,0,0,11,Matches,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-118,2000,30.7,1345,1567,85.8,27248,9946,422,480,87.9,748,817,91.6,161,237,67.9,0,1.0,1.1,-1.0,8,53,3,1,76,Matches,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-141,1996,34.6,519,834,62.2,8178,2397,297,367,80.9,158,211,74.9,48,155,31.0,4,6.4,5.2,-2.4,43,38,23,8,69,Matches,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-211,1997,2.2,85,122,69.7,1275,472,52,67,77.6,21,31,67.7,8,15,53.3,0,0.2,0.2,-0.2,4,4,5,4,3,Matches,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-242,2001,3.3,33,53,62.3,466,54,21,33,63.6,9,15,60.0,2,3,66.7,0,0.1,0.1,-0.1,1,1,1,0,4,Matches,97220da2
65,David Brooks,wls WAL,FWDF,Bournemouth,25-306,1997,0.4,4,6,66.7,48,9,3,3,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-185,2000,0.3,17,21,81.0,283,57,7,8,87.5,10,11,90.9,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-088,2001,1.6,47,60,78.3,638,92,26,32,81.3,14,16,87.5,2,4,50.0,1,0.2,0.1,+0.8,2,3,2,0,5,Matches,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-136,1996,25.5,759,984,77.1,11674,2983,419,495,84.6,245,311,78.8,61,86,70.9,2,5.3,3.9,-3.3,39,82,37,0,133,Matches,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-234,2002,13.7,519,643,80.7,7213,2149,331,359,92.2,155,194,79.9,19,50,38.0,1,1.1,0.9,-0.1,15,24,10,6,38,Matches,bfc3b3a0
70,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-138,2004,3.2,89,113,78.8,1283,229,61,69,88.4,18,23,78.3,8,11,72.7,1,0.5,0.2,+0.5,5,4,3,1,5,Matches,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,31-001,1992,31.4,1196,1524,78.5,19742,7774,581,662,87.8,505,618,81.7,87,172,50.6,0,1.2,1.2,-1.2,14,83,9,1,102,Matches,b2d31e83
72,Cafú,pt POR,MF,Nott'ham Forest,30-073,1993,0.1,2,2,100.0,45,41,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,85322440
