Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,-9999
185,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-313,2004,5.0,143,143,0,0,0,1,1,0,0,0,0,0,115,0,6,7aa8adfe
186,James Garner,eng ENG,MF,Everton,22-058,2001,6.1,235,216,18,5,0,1,26,0,12,10,2,0,172,1,5,4e015693
187,David de Gea,es ESP,GK,Manchester Utd,32-184,1990,34.0,1105,887,213,57,1,3,0,0,0,0,0,0,788,5,1,7ba6d84e
188,Joe Gelhardt,eng ENG,FW,Leeds United,21-006,2002,2.4,67,62,3,0,1,0,1,0,0,0,0,0,43,2,4,01962d0d
189,Saman Ghoddos,ir IRN,MFDF,Brentford,29-246,1993,1.5,73,62,11,3,1,0,7,3,4,1,3,0,54,0,1,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-103,2000,2.0,95,88,7,2,0,1,8,1,4,0,3,0,75,0,2,32f60ed8
191,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-103,2000,30.0,1013,842,156,54,16,7,151,5,87,39,41,1,626,15,29,32f60ed8
192,Billy Gilmour,sct SCO,MF,Brighton,21-333,2001,3.8,298,296,1,1,1,1,1,0,0,0,0,0,271,1,2,df10e27c
193,Degnand Gnonto,it ITA,FWMF,Leeds United,19-186,2003,14.1,477,448,25,1,4,0,37,12,10,2,1,0,342,4,34,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-115,1998,8.9,281,232,48,1,0,0,7,47,0,0,0,0,182,1,9,9f7c837d
195,João Gomes,br BRA,MF,Wolves,22-087,2001,5.3,242,228,13,10,0,2,7,1,1,0,0,0,184,1,8,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-114,1999,9.0,434,391,43,6,0,4,6,37,0,0,0,0,355,0,4,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-352,1997,15.3,1275,1233,36,6,2,10,4,30,0,0,0,0,1086,6,5,7a11550b
198,Sergio Gómez,es ESP,DFMF,Manchester City,22-248,2000,1.9,153,140,13,4,0,0,5,7,2,0,2,0,133,0,3,01e5f06e
199,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-075,2001,4.4,175,169,4,1,2,0,8,1,2,2,0,0,144,2,4,2bd83368
200,Anthony Gordon,eng ENG,FW,Everton,22-075,2001,12.2,280,272,7,0,1,1,25,1,2,2,0,0,193,1,10,2bd83368
201,Demarai Gray,eng ENG,FWMF,Everton,26-316,1996,26.2,795,635,160,54,2,8,160,6,68,47,20,0,549,0,35,4468ec10
202,Jack Grealish,eng ENG,FW,Manchester City,27-242,1995,22.7,1067,1007,55,7,6,8,53,24,24,12,0,1,898,5,34,b0b4fd3e
203,Sam Greenwood,eng ENG,MFFW,Leeds United,21-104,2002,4.1,166,130,36,13,0,1,36,1,22,11,11,0,101,0,1,f3354c07
204,Pascal Groß,de GER,MFDF,Brighton,31-329,1991,31.2,2089,1782,301,77,9,19,206,76,128,56,55,2,1661,6,49,8aec0537
205,Vicente Guaita,es ESP,GK,Crystal Palace,36-120,1987,27.0,845,590,251,45,0,4,0,0,0,0,0,0,610,4,0,ab13a5aa
206,Gonçalo Guedes,pt POR,FWMF,Wolves,26-162,1996,7.9,201,182,19,2,0,4,27,2,14,3,8,2,138,0,8,e6bc67d7
207,Marc Guéhi,eng ENG,DF,Crystal Palace,22-301,2000,34.0,1954,1876,73,69,2,24,0,2,0,0,0,0,1658,5,12,d0706b27
208,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-175,1997,26.3,1421,1377,36,29,22,19,21,4,3,0,0,0,1177,8,25,82518f62
209,İlkay Gündoğan,de GER,MF,Manchester City,32-198,1990,24.3,1451,1401,47,20,18,5,27,3,18,7,4,1,1259,3,25,819b3158
210,Darko Gyabi,eng ENG,FW,Leeds United,19-081,2004,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,56d838f7
211,Erling Haaland,no NOR,FW,Manchester City,22-293,2000,28.7,471,420,45,0,4,0,12,2,1,0,0,0,341,6,21,1f44ac21
212,Lewis Hall,eng ENG,DFMF,Chelsea,18-244,2004,3.4,195,175,20,3,0,3,9,15,2,2,0,0,147,0,6,da011f18
213,Luke Harris,wls WAL,MFFW,Fulham,18-037,2005,0.1,14,14,0,0,0,0,1,0,0,0,0,0,13,0,0,8c3078cd
214,Jack Harrison,eng ENG,FWMF,Leeds United,26-171,1996,27.7,1064,935,123,37,4,11,164,23,62,29,21,3,672,6,52,aa849a12
215,Kai Havertz,de GER,FWMF,Chelsea,23-333,1999,26.1,798,762,33,4,2,3,13,9,0,0,0,0,643,3,22,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-336,2000,1.0,101,100,1,0,0,0,0,1,0,0,0,0,96,0,1,4fd08daa
217,Hwang Hee-chan,kr KOR,FWMF,Wolves,27-104,1996,10.5,229,217,11,0,2,0,10,5,0,0,0,0,173,1,8,169fd162
218,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-059,1997,18.0,671,455,214,58,0,0,0,0,0,0,0,0,425,2,0,e5a76dfe
219,Jordan Henderson,eng ENG,MF,Liverpool,32-327,1990,21.1,1487,1433,47,11,8,9,39,15,0,0,0,0,1232,7,29,935e6b8f
220,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-106,1987,2.0,56,38,18,3,0,0,0,0,0,0,0,0,45,0,0,76eca7e2
221,Rico Henry,eng ENG,DF,Brentford,25-306,1997,33.0,1079,945,128,1,4,2,73,127,0,0,0,0,776,6,21,8a3c1dc7
222,Son Heung-min,kr KOR,MFFW,Tottenham,30-306,1992,29.3,827,703,118,22,5,0,107,5,80,34,29,0,607,6,27,92e7e919
223,Aaron Hickey,sct SCO,DF,Brentford,20-334,2002,18.6,726,648,77,9,1,1,25,68,0,0,0,0,600,1,13,1780bb4a
224,Joseph Hodge,ie IRL,MF,Wolves,20-238,2002,1.9,87,83,2,0,0,0,1,2,0,0,0,0,69,2,3,bd8a5d95
225,Rob Holding,eng ENG,DF,Arsenal,27-232,1995,6.3,442,430,10,8,1,2,0,2,0,0,0,0,382,2,3,d79a8c87
226,Mason Holgate,eng ENG,DF,Everton,26-200,1996,4.9,201,178,21,7,1,5,2,14,0,0,0,0,135,2,2,d0042ab9
227,Will Hughes,eng ENG,MF,Crystal Palace,28-023,1995,6.5,273,256,15,6,1,0,12,2,4,2,2,0,210,2,10,a0666d3e
228,Omari Hutchinson,eng ENG,FW,Chelsea,19-192,2003,0.3,12,12,0,0,0,0,2,0,0,0,0,0,8,0,1,bd9553e6
229,Pierre Højbjerg,dk DEN,MF,Tottenham,27-278,1995,33.8,2238,2155,78,56,9,39,15,15,1,0,0,0,1974,5,26,8b04d6c1
230,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-219,1996,11.2,278,267,8,0,4,3,6,2,2,0,0,0,200,3,12,c92e1a31
231,Danny Ings,eng ENG,FW,West Ham,30-291,1992,6.4,93,91,2,0,2,1,0,0,0,0,0,0,57,0,2,07802f7f
232,Danny Ings,eng ENG,FW,Aston Villa,30-291,1992,9.2,162,152,10,0,4,0,4,0,0,0,0,0,114,0,6,07802f7f
233,Alexander Isak,se SWE,FW,Newcastle Utd,23-231,1999,13.0,265,243,18,1,8,2,4,2,0,0,0,0,197,4,8,8e92be30
234,Daniel Iversen,dk DEN,GK,Leicester City,25-295,1997,9.0,283,171,110,28,0,0,0,0,0,0,0,0,164,2,1,10d221cd
235,Alex Iwobi,ng NGA,MFFW,Everton,27-007,1996,34.5,1425,1363,53,3,14,13,94,27,16,14,1,0,1070,9,46,6ca5ec4b
236,Daniel James,wls WAL,FW,Leeds United,25-181,1997,2.2,40,40,0,0,0,0,6,0,0,0,0,0,24,0,4,c931d9f9
237,Daniel James,wls WAL,FW,Fulham,25-181,1997,6.8,183,179,4,0,0,0,24,4,0,0,0,0,117,0,16,c931d9f9
238,Reece James,eng ENG,DFMF,Chelsea,23-153,1999,13.8,1051,896,151,26,0,5,91,104,21,12,6,0,891,4,16,1265a93a
239,Vitaly Janelt,de GER,MFDF,Brentford,25-000,1998,21.5,899,867,28,11,3,15,20,16,1,1,0,0,706,4,18,8449d35e
240,Pontus Jansson,se SWE,DF,Brentford,32-086,1991,8.0,321,309,11,6,1,0,0,5,0,0,0,0,257,1,3,172e52d8
241,Mathias Jensen,dk DEN,MF,Brentford,27-129,1996,29.6,1458,1072,380,80,5,27,154,173,73,35,18,7,1005,6,25,0f134faf
242,Gabriel Jesus,br BRA,FW,Arsenal,26-037,1997,20.1,621,564,56,3,4,5,9,12,0,0,0,0,500,1,16,b66315ae
243,Raúl Jiménez,mx MEX,FW,Wolves,32-005,1991,8.3,172,154,18,0,1,1,5,4,0,0,0,0,122,0,4,b561db50
244,Joelinton,br BRA,MFFW,Newcastle Utd,26-269,1996,27.6,1188,1147,38,14,3,4,16,19,4,0,0,0,971,3,37,c17bfb65
245,Ben Johnson,eng ENG,DF,West Ham,23-106,2000,8.6,481,416,64,7,0,6,14,55,0,0,0,0,355,1,11,9319781b
246,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-352,2001,31.4,491,468,21,0,0,2,57,4,1,1,0,0,283,2,25,0cd31129
247,Sam Johnstone,eng ENG,GK,Crystal Palace,30-046,1993,6.0,199,154,44,17,0,0,0,0,0,0,0,0,141,1,0,9e5708be
248,Curtis Jones,eng ENG,MF,Liverpool,22-100,2001,9.3,544,532,11,1,4,2,8,9,0,0,0,0,489,1,7,4fb9c88f
249,Jorginho,it ITA,MF,Arsenal,31-141,1991,6.8,526,513,12,12,4,2,2,0,0,0,0,0,453,1,7,45db685d
250,Jorginho,it ITA,MF,Chelsea,31-141,1991,14.2,884,853,28,27,2,3,2,1,0,0,0,0,749,3,11,45db685d
251,Mateo Joseph,eng ENG,FWMF,Leeds United,19-203,2003,0.3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,6ad43f9a
252,Diogo Jota,pt POR,FW,Liverpool,26-157,1996,11.1,340,339,1,0,2,1,7,0,0,0,0,0,252,0,14,178ae8f8
253,Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-083,2000,4.7,178,149,28,8,5,0,41,1,18,13,2,2,109,1,4,570bb4b9
254,James Justin,eng ENG,DF,Leicester City,25-076,1998,13.9,819,687,130,16,0,4,21,114,0,0,0,0,667,2,19,fb614c44
255,Mathias Jørgensen,dk DEN,DF,Brentford,33-017,1990,11.1,453,394,58,6,0,0,3,48,0,0,0,0,359,1,2,0db5d2c8
256,Sasa Kalajdzic,at AUT,FW,Wolves,25-307,1997,0.5,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,15f24fe7
257,Boubacar Kamara,fr FRA,MF,Aston Villa,23-168,1999,17.5,881,851,30,28,2,8,1,0,0,0,0,0,747,0,20,cc77354e
258,Harry Kane,eng ENG,FW,Tottenham,29-286,1993,34.8,833,770,56,14,17,17,36,21,0,0,0,0,579,7,37,21a66f6a
259,N'Golo Kanté,fr FRA,MF,Chelsea,32-042,1991,5.8,338,336,0,0,2,1,11,0,0,0,0,0,271,2,12,b9fbae28
260,Michael Keane,eng ENG,DF,Everton,30-119,1993,10.3,399,391,5,3,0,0,2,2,0,0,0,0,276,3,7,c5b7c315
261,Neeskens Kebano,cd COD,FW,Fulham,31-061,1992,8.3,208,204,4,2,0,1,23,0,2,0,0,0,153,0,16,18b999f4
262,Thilo Kehrer,de GER,DF,West Ham,26-231,1996,23.3,1033,915,115,23,1,6,23,91,0,0,0,0,856,3,14,51dbeea9
263,Naby Keïta,gn GUI,MF,Liverpool,28-089,1995,3.3,168,161,6,1,0,0,2,1,0,0,0,0,129,1,7,f25c8e3a
264,Lloyd Kelly,eng ENG,DF,Bournemouth,24-216,1998,19.7,967,849,114,25,2,9,11,87,0,0,0,0,773,4,10,f31def1e
265,Max Kilman,eng ENG,DF,Wolves,25-352,1997,35.0,1996,1960,27,27,0,31,4,0,0,0,0,0,1659,9,17,d0f72bf1
266,Jakub Kiwior,pl POL,DF,Arsenal,23-084,2000,2.2,93,91,2,2,0,0,0,0,0,0,0,0,84,0,1,dc3e663e
267,Mateusz Klich,pl POL,MFFW,Leeds United,32-331,1990,3.1,148,139,9,2,0,0,8,4,3,1,1,0,108,0,7,282679b4
268,Robin Koch,de GER,DF,Leeds United,26-297,1996,32.3,1502,1452,46,46,2,5,1,0,0,0,0,0,1161,4,23,ea6bc03a
269,Ibrahima Konaté,fr FRA,DF,Liverpool,23-350,1999,15.2,1016,1000,16,13,2,4,0,3,0,0,0,0,891,0,4,5ed9b537
270,Ezri Konsa,eng ENG,DF,Aston Villa,25-199,1997,33.9,1783,1701,78,52,1,5,4,18,0,0,0,0,1578,4,14,0313a347
271,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-324,1991,19.9,1465,1415,45,33,0,15,4,12,0,0,0,0,1270,5,12,da974c7b
272,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-140,1989,9.3,233,228,4,4,0,1,0,0,0,0,0,0,174,1,7,8d3c902d
273,Mateo Kovačić,hr CRO,MF,Chelsea,29-004,1994,18.2,1267,1240,26,23,10,10,5,3,0,0,0,0,1086,1,23,79c0821a
274,Emil Krafth,se SWE,DF,Newcastle Utd,28-281,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77cf6852
275,Dejan Kulusevski,se SWE,MFFW,Tottenham,23-015,2000,21.1,681,629,51,0,3,3,53,7,18,2,3,0,532,1,23,df3cda47
276,Layvin Kurzawa,fr FRA,DF,Fulham,30-248,1992,1.5,41,29,12,0,0,0,2,12,0,0,0,0,28,0,2,41e7ef1c
277,Adam Lallana,eng ENG,MFFW,Brighton,35-000,1988,8.0,317,304,11,2,0,0,3,2,1,0,0,0,262,2,5,99813635
278,Tariq Lamptey,gh GHA,DF,Brighton,22-222,2000,5.0,302,258,44,5,1,1,31,39,0,0,0,0,239,0,6,f4e433d4
279,Manuel Lanzini,ar ARG,MFFW,West Ham,30-084,1993,1.7,100,98,2,0,0,0,1,0,0,0,0,0,83,0,2,26f6dca8
280,Aymeric Laporte,es ESP,DF,Manchester City,28-348,1994,8.2,704,684,19,10,1,4,5,9,0,0,0,0,651,1,2,119b9a8e
281,Juan Larios,es ESP,DF,Southampton,19-118,2004,1.7,82,59,23,0,0,0,4,23,0,0,0,0,63,0,2,cf7fb13a
282,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-180,1993,2.4,93,93,0,0,0,0,0,0,0,0,0,0,79,0,0,450ab6fc
283,Roméo Lavia,be BEL,MF,Southampton,19-124,2004,22.1,913,903,9,4,5,9,3,1,4,0,0,2,786,1,21,ecad9aa5
284,Dexter Lembikisa,jm JAM,DF,Wolves,19-187,2003,0.3,13,12,1,0,0,0,1,1,0,0,0,0,10,0,2,0bdda685
285,Mario Lemina,ga GAB,MF,Wolves,29-251,1993,12.4,539,533,5,5,1,4,2,0,0,0,0,0,465,1,8,2b471f99
286,Clément Lenglet,fr FRA,DF,Tottenham,27-327,1995,19.4,1265,1236,26,20,2,17,15,6,0,0,0,0,1101,3,10,4f28a6ff
287,Bernd Leno,de GER,GK,Fulham,31-067,1992,33.0,1251,916,333,109,0,2,0,0,0,0,0,0,984,2,0,2628fd2b
288,Jefferson Lerma,co COL,MF,Bournemouth,28-197,1994,33.1,1453,1398,54,42,7,4,11,10,0,0,0,0,1180,1,23,9b5ce51a
289,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-105,1998,0.1,12,12,0,0,0,0,0,0,0,0,0,0,10,0,1,efb9215a
290,Rico Lewis,eng ENG,DFMF,Manchester City,18-170,2004,7.0,518,486,31,4,1,0,5,27,0,0,0,0,478,1,6,b57e066e
291,Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-077,2001,3.6,86,83,3,0,1,1,8,2,0,0,0,0,49,0,3,41f08ac8
292,Victor Lindelöf,se SWE,DF,Manchester Utd,28-297,1994,11.2,707,695,12,10,2,1,1,0,0,0,0,0,657,0,0,f5deef4c
293,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-146,1992,10.3,297,271,24,7,1,4,5,8,0,0,0,0,236,2,5,810e3c74
294,Diego Llorente,es ESP,DF,Leeds United,29-267,1993,7.2,429,417,11,10,0,4,1,0,0,0,0,0,356,1,2,bba30585
295,Hugo Lloris,fr FRA,GK,Tottenham,36-135,1986,24.5,728,513,212,26,0,0,0,0,0,0,0,0,561,3,1,8f62b6ee
296,Renan Lodi,br BRA,DF,Nott'ham Forest,25-032,1998,22.1,829,646,179,39,0,3,67,130,10,7,2,0,556,4,28,ed9f7cfe
297,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-107,1996,14.9,798,751,42,10,1,6,19,32,0,0,0,0,678,5,20,e97fd090
298,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-192,1997,27.0,1113,1070,39,7,7,6,30,3,3,0,0,0,899,4,29,a2b105e0
299,Jamal Lowe,jm JAM,MFFW,Bournemouth,28-293,1994,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,b2856bc0
300,Douglas Luiz,br BRA,MF,Aston Villa,25-001,1998,29.6,1657,1464,190,105,5,10,91,6,78,43,13,1,1370,3,14,6f7d826d
301,Saša Lukić,rs SRB,MF,Fulham,26-270,1996,3.7,187,181,6,6,0,0,1,0,0,0,0,0,164,0,0,c6e8cf1f
302,Lyanco,br BRA,DF,Southampton,26-098,1997,10.1,456,398,57,11,3,5,7,46,0,0,0,0,320,1,6,b5bf1770
303,Alexis Mac Allister,ar ARG,MF,Brighton,24-137,1998,28.2,1640,1587,47,30,13,10,29,5,12,7,4,0,1415,6,39,83d074ff
304,James Maddison,eng ENG,MFFW,Leicester City,26-168,1996,25.1,1049,910,130,55,11,7,114,4,66,35,20,3,771,9,27,ee38d9c5
305,Noni Madueke,eng ENG,FW,Chelsea,21-061,2002,4.2,173,167,6,0,0,0,11,5,1,1,0,0,134,0,5,bf34eebd
306,Harry Maguire,eng ENG,DF,Manchester Utd,30-066,1993,7.4,514,501,12,11,0,9,1,1,0,0,0,0,439,1,2,d8931174
307,Riyad Mahrez,dz ALG,FWMF,Manchester City,32-078,1991,17.5,1001,881,120,29,8,7,81,34,57,24,17,1,828,0,17,892d5bb1
308,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18-021,2005,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,c6220452
309,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-254,1997,14.7,686,612,71,11,2,3,19,60,0,0,0,0,542,3,10,e3a5814e
310,Tyrell Malacia,nl NED,DF,Manchester Utd,23-266,1999,14.0,731,607,122,10,0,5,15,110,2,2,0,0,629,2,16,6b6c793c
311,Orel Mangala,be BEL,MF,Nott'ham Forest,25-053,1998,14.4,466,460,4,3,1,1,6,0,0,0,0,0,374,2,10,a572e291
312,Javier Manquillo,es ESP,DF,Newcastle Utd,29-005,1994,0.4,27,24,3,1,0,0,1,2,0,0,0,0,23,0,0,758dd7f0
313,Sekou Mara,fr FRA,FWMF,Southampton,20-284,2002,5.8,101,97,2,0,1,0,1,0,0,0,0,0,66,2,4,3544641e
314,Solly March,eng ENG,FWDF,Brighton,28-294,1994,30.2,1312,1168,142,14,3,29,155,54,71,33,21,0,951,2,36,bb5fbd2b
315,Emiliano Marcondes,dk DEN,MF,Bournemouth,28-062,1995,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4d960fc3
316,Marquinhos,br BRA,MF,Arsenal,20-033,2003,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,59878425
317,Anthony Martial,fr FRA,FW,Manchester Utd,27-156,1995,8.5,248,234,12,3,3,0,3,2,0,0,0,0,205,2,10,8b788c01
318,Martinelli,br BRA,FW,Arsenal,21-326,2001,30.8,1104,1011,87,12,8,2,112,11,62,39,0,0,831,6,44,48a5a5d6
319,Emiliano Martínez,ar ARG,GK,Aston Villa,30-250,1992,31.9,1256,937,315,116,1,5,0,0,0,0,0,0,948,4,1,7956236f
320,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-112,1998,23.5,1528,1401,122,34,7,16,0,5,0,0,0,0,1330,5,7,bac46a10
321,Pape Matar Sarr,sn SEN,MF,Tottenham,20-238,2002,2.2,141,137,4,2,0,1,0,0,0,0,0,0,129,0,0,feb5d972
322,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-316,1997,8.2,142,136,6,0,0,0,1,0,0,0,0,0,98,0,9,50e6dc35
323,Joël Matip,cm CMR,DF,Liverpool,31-275,1991,11.1,816,804,11,7,0,5,1,4,0,0,0,0,705,1,5,b217ef29
324,Neal Maupay,fr FRA,FW,Everton,26-269,1996,11.8,241,211,29,1,0,1,3,2,0,0,0,0,180,1,10,4bcf39f6
325,Kevin Mbabu,ch SUI,DFFW,Fulham,28-021,1995,1.6,94,71,23,0,0,1,7,23,0,0,0,0,68,0,2,493924a7
326,Bryan Mbeumo,cm CMR,FW,Brentford,23-276,1999,29.3,893,765,123,41,6,6,143,19,62,33,10,5,584,5,39,6afaebf2
327,James McArthur,sct SCO,MF,Crystal Palace,35-215,1987,0.2,22,21,1,1,1,0,0,0,0,0,0,0,17,0,0,cee31595
328,Alex McCarthy,eng ENG,GK,Southampton,33-158,1989,3.0,121,85,34,7,0,0,0,0,0,0,0,0,81,2,0,36c2ca73
329,John McGinn,sct SCO,MFFW,Aston Villa,28-204,1994,26.9,949,892,51,23,8,10,48,1,25,18,0,0,742,6,18,90f91999
330,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-179,1996,17.5,727,691,32,11,0,3,2,21,0,0,0,0,569,4,2,4e5a4cbc
331,Weston McKennie,us USA,MF,Leeds United,24-255,1998,13.4,544,523,18,8,4,5,8,10,0,0,0,0,412,3,14,01c3aff5
332,Dwight McNeil,eng ENG,FWMF,Everton,23-169,1999,24.8,839,729,103,41,3,5,164,12,50,42,4,0,555,7,44,fc15fb84
333,Scott McTominay,sct SCO,MF,Manchester Utd,26-153,1996,12.5,412,406,5,3,3,3,4,1,0,0,0,0,340,1,5,d93c2511
334,Ben Mee,eng ENG,DF,Brentford,33-231,1989,33.3,1613,1482,125,37,0,10,7,86,0,0,0,0,1224,6,17,8df7a2fb
335,Edouard Mendy,sn SEN,GK,Chelsea,31-070,1992,8.5,268,206,62,6,0,1,0,0,0,0,0,0,213,0,0,33887998
336,Nampalys Mendy,sn SEN,MF,Leicester City,30-321,1992,8.2,408,394,12,8,1,2,1,1,0,0,0,0,357,2,11,1598599e
337,Chris Mepham,wls WAL,DF,Bournemouth,25-186,1997,23.4,988,952,33,21,0,4,0,12,0,0,0,0,828,3,6,fed96827
338,Illan Meslier,fr FRA,GK,Leeds United,23-069,2000,34.0,1039,705,331,89,0,1,0,0,0,0,0,0,664,3,2,6b625ac2
339,Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-029,2002,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10ec4169
340,Luka Milivojević,rs SRB,MF,Crystal Palace,32-033,1991,5.7,260,248,11,8,0,2,6,1,2,2,0,0,207,1,0,2ce2508a
341,James Milner,eng ENG,MFDF,Liverpool,37-126,1986,8.7,619,528,88,17,1,3,48,59,12,2,9,0,476,3,19,2f90f6b8
342,Yerry Mina,co COL,DF,Everton,28-229,1994,3.6,191,179,11,10,0,1,0,1,0,0,0,0,171,1,0,6d5701f2
343,Tyrone Mings,eng ENG,DF,Aston Villa,30-058,1993,32.0,1799,1724,72,56,1,15,3,6,0,0,0,0,1535,3,9,8397a50c
344,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-251,1999,29.1,1447,1110,334,32,0,2,61,302,0,0,0,0,1032,3,58,5cbd1eb0
345,Kaoru Mitoma,jp JPN,FW,Brighton,25-355,1997,21.5,861,837,19,0,4,3,40,16,3,0,0,0,686,5,27,74618572
346,Aleksandar Mitrović,rs SRB,FW,Fulham,28-236,1994,20.1,449,443,6,0,4,9,4,3,0,0,0,0,270,0,21,3925dbd6
347,Kieffer Moore,wls WAL,FW,Bournemouth,30-275,1992,13.2,339,316,23,1,0,1,6,0,0,0,0,0,200,0,12,01ce9e70
348,Andrew Moran,ie IRL,FW,Brighton,19-207,2003,0.1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,c4720845
349,Álex Moreno,es ESP,DF,Aston Villa,29-336,1993,13.6,697,567,128,17,1,0,42,111,0,0,0,0,544,2,30,16e9d0ea
350,Mason Mount,eng ENG,MFFW,Chelsea,24-120,1999,18.3,778,706,68,17,6,8,64,5,34,11,19,1,585,4,23,9674002f
351,Lucas Moura,br BRA,MFDF,Tottenham,30-270,1992,1.4,71,66,5,0,1,0,6,4,1,0,0,0,48,0,5,2b622f01
352,João Moutinho,pt POR,MF,Wolves,36-244,1986,19.8,1057,936,116,55,7,6,59,3,34,10,15,0,850,5,20,f5a00fa4
353,Divin Mubama,eng ENG,FW,West Ham,18-197,2004,0.0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,92868cb5
354,Mykhailo Mudryk,ua UKR,FW,Chelsea,22-125,2001,6.4,195,174,20,3,1,1,22,5,10,8,0,0,143,1,1,049a888d
355,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-075,1995,13.5,438,418,18,0,6,2,53,10,7,1,0,0,290,2,30,de112b84
356,Enock Mwepu,zm ZAM,FWMF,Brighton,25-129,1998,2.4,78,76,2,0,0,1,3,0,0,0,0,0,61,0,3,1d5cab82
357,Vitaliy Mykolenko,ua UKR,DF,Everton,23-346,1999,29.5,1292,1045,239,10,1,3,57,227,2,1,1,0,966,8,30,30d4a2e5
358,Keylor Navas,cr CRC,GK,Nott'ham Forest,36-146,1986,15.0,482,281,196,56,0,0,0,0,0,0,0,0,290,5,0,ecada4fc
359,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-145,1996,17.0,866,835,31,25,1,5,2,3,0,0,0,0,735,0,15,6b47c5db
360,Reiss Nelson,eng ENG,FW,Arsenal,23-151,1999,1.7,98,97,1,0,0,0,11,0,1,1,0,0,82,0,1,c5bdb6e3
361,Neto,br BRA,GK,Bournemouth,33-295,1989,24.5,750,456,293,83,0,1,0,0,0,0,0,0,457,1,0,a9dc785c
362,Pedro Neto,pt POR,FWMF,Wolves,23-062,2000,10.2,362,324,38,10,2,3,61,5,23,11,7,0,269,0,12,7ba2eaa9
363,Rúben Neves,pt POR,MF,Wolves,26-058,1997,31.1,1957,1812,138,108,7,24,43,10,14,2,11,0,1617,7,29,44bfb6c5
364,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-063,1996,9.9,296,230,66,5,0,0,0,61,0,0,0,0,209,0,7,00242715
365,Rasmus Nissen,dk DEN,DF,Leeds United,25-303,1997,18.8,925,743,180,7,0,2,32,173,0,0,0,0,647,2,35,39769cff
366,Eddie Nketiah,eng ENG,FW,Arsenal,23-345,1999,11.5,242,220,22,0,0,1,5,0,0,0,0,0,193,0,11,a53649b7
367,Matheus Nunes,pt POR,MF,Wolves,24-256,1998,25.7,957,924,30,14,5,31,40,7,9,3,4,0,756,3,23,e6af02e0
368,Darwin Núñez,uy URU,FW,Liverpool,23-320,1999,18.8,401,386,11,0,2,8,18,8,1,0,0,0,258,4,22,4d77b365
369,Ethan Nwaneri,eng ENG,FW,Arsenal,16-050,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7f94982c
370,Christian Nørgaard,dk DEN,MF,Brentford,29-061,1994,19.6,812,787,19,10,2,6,11,2,0,0,0,0,608,6,11,df0a4c90
