Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,-9999
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-344,1996,27.9,1702,1586,109,98,2,40,10,9,1,0,0,0,1333,7,11,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-185,2002,2.5,118,113,3,0,1,0,4,2,1,0,0,0,86,2,7,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-160,1999,12.7,470,426,43,9,2,5,39,20,13,8,1,1,346,1,17,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-043,1990,19.6,332,319,12,1,1,1,34,8,0,0,0,0,175,1,18,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-075,2000,17.8,714,702,12,1,3,2,31,10,1,0,0,0,568,0,26,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-293,2001,0.5,12,11,1,1,0,0,1,0,0,0,0,0,8,0,1,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-072,1993,3.4,92,59,32,2,0,0,0,0,0,0,0,0,67,1,0,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-293,1996,12.8,369,363,6,0,0,0,8,2,0,0,0,0,268,0,15,328f7d51
28,Adam Armstrong,eng ENG,FWMF,Southampton,26-089,1997,14.4,296,261,35,0,0,4,14,3,0,0,0,0,217,0,20,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-041,1992,14.3,638,601,35,3,2,3,32,13,1,0,1,0,501,2,23,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-219,1994,25.5,930,710,220,55,0,3,0,0,0,0,0,0,770,0,1,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-326,1989,6.2,111,101,10,0,0,0,3,0,0,0,0,0,82,0,5,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-019,1994,0.9,43,34,9,1,0,0,5,8,0,0,0,0,26,0,0,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-137,1992,18.6,871,686,183,16,1,0,38,167,0,0,0,0,619,2,25,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-271,1997,12.9,186,183,3,0,2,0,3,1,0,0,0,0,128,0,7,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-216,2003,0.2,11,11,0,0,1,0,0,0,0,0,0,0,10,0,0,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-144,1989,3.5,71,66,5,0,0,0,1,0,1,0,0,0,51,0,0,5dbefa9d
