Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-202,2003,2.6,11,6,6,5,0,2,4,0,4,4,15,1,0,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-092,2005,0.1,0,0,0,0,0,0,2,0,2,0,0,0,0,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-035,1991,18.2,27,16,13,9,5,9,22,4,18,19,46,34,0,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-074,1993,21.9,14,9,8,6,0,8,20,16,4,14,28,85,3,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-198,1989,5.5,18,13,12,6,0,3,3,0,3,3,21,9,0,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-211,1988,18.4,35,26,21,10,4,10,14,7,7,22,57,58,2,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,22-010,2001,18.2,26,15,18,8,0,9,30,24,6,21,47,75,0,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-073,2003,9.6,3,3,1,2,0,4,4,2,2,11,14,24,1,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-096,1997,18.0,37,22,10,22,5,20,26,9,17,22,59,29,0,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-021,1991,10.6,8,4,4,4,0,2,16,11,5,12,20,51,0,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-253,1991,14.8,34,22,25,8,1,11,15,8,7,32,66,55,3,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-225,1996,1.9,5,2,3,0,2,0,2,0,2,1,6,0,0,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-215,1988,12.7,3,1,3,0,0,6,6,1,5,2,5,16,0,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-261,1992,21.7,51,27,33,12,6,13,23,5,18,37,88,65,0,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-332,1992,8.8,19,14,8,8,3,6,11,1,10,4,23,2,0,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-046,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-146,1989,24.1,21,11,12,7,2,18,20,10,10,27,48,55,0,4f974391
