Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,-9999
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-253,2002,3.8,9,2.38,5,0,0,2,2,0,966e28d0
83,Casemiro,br BRA,MF,Manchester Utd,31-076,1992,19.9,54,2.72,49,0,0,4,1,0,4d224fe8
84,Matty Cash,pl POL,DF,Aston Villa,25-276,1997,18.2,28,1.54,25,0,1,0,1,1,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-156,1995,33.2,51,1.54,44,2,1,2,1,1,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-068,1994,14.0,24,1.71,20,0,0,0,3,1,e28868f3
87,Julio César Enciso,py PAR,FWMF,Brighton,19-107,2004,5.9,34,5.77,19,0,9,5,1,0,9cfbad36
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-149,1994,0.1,0,0.00,0,0,0,0,0,0,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-309,1999,14.4,9,0.63,6,0,0,2,1,0,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-110,1995,3.9,6,1.53,5,0,0,0,0,1,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-140,1996,15.6,39,2.49,19,17,0,1,2,0,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-077,1995,18.3,61,3.34,45,4,4,5,3,0,26ce2263
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-202,2003,2.6,7,2.72,5,0,0,1,0,1,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-092,2005,0.1,0,0.00,0,0,0,0,0,0,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-035,1991,18.2,18,0.99,16,1,0,0,1,0,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-074,1993,21.9,17,0.78,15,0,0,1,1,0,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-198,1989,5.5,3,0.54,3,0,0,0,0,0,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-211,1988,18.4,21,1.14,15,1,1,1,3,0,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,22-010,2001,18.2,11,0.61,8,0,1,0,2,0,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-073,2003,9.6,9,0.94,7,1,0,1,0,0,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-096,1997,18.0,37,2.06,25,8,0,0,1,3,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-021,1991,10.6,6,0.56,6,0,0,0,0,0,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-253,1991,14.8,16,1.08,13,1,0,2,0,0,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-225,1996,1.9,6,3.27,4,0,1,0,0,1,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-215,1988,12.7,22,1.73,14,0,3,3,2,0,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-261,1992,21.7,45,2.07,30,13,0,1,1,0,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-332,1992,8.8,24,2.74,19,1,3,1,0,0,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-046,2000,0.0,0,0.00,0,0,0,0,0,0,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-146,1989,24.1,72,2.99,42,27,0,2,1,0,4f974391
110,Marc Cucurella,es ESP,DF,Chelsea,24-292,1998,18.6,27,1.46,21,6,0,0,0,0,1daec722
111,Matheus Cunha,br BRA,FW,Wolves,23-348,1999,10.0,20,2.00,15,1,1,1,2,0,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-213,1998,12.5,28,2.23,19,1,1,5,2,0,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-053,1999,22.9,50,2.18,46,0,1,2,0,1,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-311,2000,8.9,21,2.37,17,3,0,0,1,0,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,22-011,2001,9.1,20,2.21,15,1,3,0,1,0,a816dbfb
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-099,1997,1.0,2,1.91,2,0,0,0,0,0,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-199,1998,15.0,41,2.73,35,1,3,1,1,0,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-016,1993,22.5,32,1.42,29,0,0,3,0,0,44781702
119,Tom Davies,eng ENG,MF,Everton,24-314,1998,6.0,6,1.00,5,0,0,1,0,0,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,33-004,1990,8.0,12,1.50,10,0,0,1,1,0,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,33-004,1990,13.7,6,0.44,6,0,0,0,0,0,3e9e06cb
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-316,1991,26.1,174,6.67,118,33,8,7,5,3,e46012d4
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-245,1996,1.2,5,4.09,5,0,0,0,0,0,11f54bd5
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-025,1995,7.7,8,1.04,6,0,0,1,0,1,5a7301ae
125,Leander Dendoncker,be BEL,MF,Wolves,28-025,1995,2.4,4,1.68,3,0,0,0,0,1,5a7301ae
126,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-176,1997,7.8,25,3.21,14,1,2,2,6,0,2c44a35d
127,Halil Dervişoğlu,tr TUR,MF,Brentford,23-153,1999,0.1,1,11.25,0,0,0,1,0,0,9d8cf204
128,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-246,1998,24.8,72,2.90,56,0,7,2,5,2,5c74c0f5
129,Ibrahima Diallo,fr FRA,MF,Southampton,24-063,1999,9.1,10,1.10,8,0,1,0,0,1,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-361,1997,21.2,14,0.66,10,1,0,3,0,0,31c69ef1
